id;xCoord;yCoord;custType;delDate;delTime;willingToWait;deliveryWindows;priceSens
1;1;11;Business;2023-05-12;07:30:00;False;[];False
2;10;12;Business;2023-05-12;21:00:00;False;[];False
3;11;9;Business;2023-05-12;07:30:00;False;[];False
4;6;19;Stay-at-Home;2023-05-12;15:00:00;True;[[9:00:00, 12:00:00], [14:00:00, 18:00:00]];False
5;14;1;Business;2023-05-12;21:30:00;False;[];False
6;20;9;Senior;2023-05-12;12:00:00;False;[];True
7;6;8;Student;2023-05-12;14:00:00;True;[[11:00:00, 22:00:00]];False
8;16;3;Student;2023-05-12;18:00:00;False;[];True
9;17;16;Business;2023-05-12;21:30:00;False;[];False
10;2;9;Business;2023-05-12;20:30:00;False;[];False
11;1;4;Student;2023-05-12;20:00:00;True;[[11:00:00, 22:00:00]];True
12;14;9;Stay-at-Home;2023-05-12;16:30:00;False;[];True
13;1;8;Stay-at-Home;2023-05-12;16:00:00;False;[];False
14;9;15;Senior;2023-05-12;13:00:00;False;[];True
15;20;11;Stay-at-Home;2023-05-12;15:00:00;False;[];False
16;4;8;Senior;2023-05-12;13:30:00;False;[];True
17;7;16;Student;2023-05-12;16:30:00;False;[];True
18;6;5;Student;2023-05-12;11:30:00;True;[[11:00:00, 22:00:00]];True
19;9;13;Stay-at-Home;2023-05-12;11:30:00;False;[];False
20;13;8;Senior;2023-05-12;14:30:00;True;[[6:00:00, 17:00:00]];True
21;5;17;Stay-at-Home;2023-05-12;08:30:00;True;[[9:00:00, 12:00:00], [14:00:00, 18:00:00]];False
22;1;5;Student;2023-05-12;14:30:00;True;[[11:00:00, 22:00:00]];False
23;7;2;Stay-at-Home;2023-05-12;14:30:00;True;[[9:00:00, 12:00:00], [14:00:00, 18:00:00]];False
24;5;13;Student;2023-05-12;11:30:00;True;[[11:00:00, 22:00:00]];True
25;13;8;Stay-at-Home;2023-05-12;14:30:00;False;[];False
26;3;13;Stay-at-Home;2023-05-12;11:30:00;True;[[9:00:00, 12:00:00], [14:00:00, 18:00:00]];True
27;2;8;Business;2023-05-12;21:00:00;False;[];False
28;1;15;Senior;2023-05-12;10:00:00;False;[];True
29;8;20;Business;2023-05-12;20:30:00;False;[];False
30;12;12;Business;2023-05-12;06:30:00;False;[];False
31;8;11;Stay-at-Home;2023-05-12;15:00:00;False;[];True
32;15;19;Student;2023-05-12;12:30:00;True;[[11:00:00, 22:00:00]];True
33;17;1;Senior;2023-05-12;09:30:00;False;[];True
34;17;18;Stay-at-Home;2023-05-12;11:30:00;False;[];False
35;5;11;Business;2023-05-12;20:30:00;False;[];False
36;4;7;Business;2023-05-12;07:00:00;False;[];False
37;10;12;Senior;2023-05-12;13:30:00;True;[[6:00:00, 17:00:00]];True
38;19;18;Senior;2023-05-12;08:30:00;False;[];True
39;11;17;Senior;2023-05-12;13:30:00;False;[];True
40;20;17;Student;2023-05-12;19:00:00;False;[];True
41;2;17;Business;2023-05-12;07:30:00;False;[];False
42;15;18;Stay-at-Home;2023-05-12;09:00:00;False;[];True
43;15;17;Student;2023-05-12;11:30:00;False;[];False
44;1;20;Senior;2023-05-12;06:30:00;False;[];True
45;12;1;Business;2023-05-12;20:00:00;False;[];False
46;13;15;Senior;2023-05-12;14:00:00;True;[[6:00:00, 17:00:00]];True
47;9;2;Student;2023-05-12;11:30:00;True;[[11:00:00, 22:00:00]];True
48;3;2;Stay-at-Home;2023-05-12;09:00:00;False;[];True
49;2;3;Student;2023-05-12;20:00:00;True;[[11:00:00, 22:00:00]];False
50;2;2;Senior;2023-05-12;14:00:00;False;[];True
51;20;3;Business;2023-05-12;21:30:00;False;[];False
52;2;13;Stay-at-Home;2023-05-12;08:00:00;True;[[9:00:00, 12:00:00], [14:00:00, 18:00:00]];False
53;10;1;Stay-at-Home;2023-05-12;16:30:00;False;[];False
54;18;2;Stay-at-Home;2023-05-12;17:00:00;True;[[9:00:00, 12:00:00], [14:00:00, 18:00:00]];True
55;1;6;Business;2023-05-12;06:30:00;False;[];False
56;19;17;Senior;2023-05-12;09:00:00;False;[];True
57;2;11;Student;2023-05-12;13:30:00;False;[];False
58;16;8;Business;2023-05-12;21:30:00;False;[];False
59;11;5;Senior;2023-05-12;08:30:00;True;[[6:00:00, 17:00:00]];True
60;2;16;Senior;2023-05-12;14:30:00;False;[];True
61;13;15;Senior;2023-05-12;13:00:00;False;[];True
62;11;2;Stay-at-Home;2023-05-12;15:30:00;False;[];True
63;9;9;Student;2023-05-12;11:30:00;True;[[11:00:00, 22:00:00]];True
64;18;10;Stay-at-Home;2023-05-12;16:00:00;False;[];True
65;6;11;Student;2023-05-12;15:30:00;True;[[11:00:00, 22:00:00]];True
66;1;1;Stay-at-Home;2023-05-12;14:00:00;False;[];True
67;3;15;Business;2023-05-12;21:30:00;False;[];False
68;20;5;Business;2023-05-12;06:00:00;False;[];False
69;15;1;Stay-at-Home;2023-05-12;09:30:00;True;[[9:00:00, 12:00:00], [14:00:00, 18:00:00]];True
70;3;12;Business;2023-05-12;20:00:00;False;[];False
