id;xCoord;yCoord;custType;delDate;delTime;willingToWait;deliveryWindows;priceSens
1;13;17;Student;2023-05-02;11:00:00;True;[[11:00:00, 22:00:00]];True
2;17;17;Senior;2023-05-02;07:00:00;True;[[6:00:00, 17:00:00]];True
3;16;19;Stay-at-Home;2023-05-02;10:30:00;True;[[9:00:00, 12:00:00], [14:00:00, 18:00:00]];False
4;12;8;Stay-at-Home;2023-05-02;15:00:00;True;[[9:00:00, 12:00:00], [14:00:00, 18:00:00]];True
5;13;9;Business;2023-05-02;06:30:00;True;[[6:00:00, 8:00:00], [20:00:00, 22:00:00]];False
6;14;18;Stay-at-Home;2023-05-02;11:30:00;True;[[9:00:00, 12:00:00], [14:00:00, 18:00:00]];True
7;11;12;Business;2023-05-02;20:00:00;True;[[6:00:00, 8:00:00], [20:00:00, 22:00:00]];False
8;11;4;Stay-at-Home;2023-05-02;11:30:00;True;[[9:00:00, 12:00:00], [14:00:00, 18:00:00]];False
9;9;19;Senior;2023-05-02;06:00:00;True;[[6:00:00, 17:00:00]];True
10;12;13;Business;2023-05-02;21:00:00;True;[[6:00:00, 8:00:00], [20:00:00, 22:00:00]];False
11;20;17;Business;2023-05-02;20:30:00;True;[[6:00:00, 8:00:00], [20:00:00, 22:00:00]];False
12;7;12;Student;2023-05-02;13:00:00;True;[[11:00:00, 22:00:00]];False
13;2;1;Stay-at-Home;2023-05-02;15:00:00;True;[[9:00:00, 12:00:00], [14:00:00, 18:00:00]];True
14;10;16;Student;2023-05-02;11:00:00;True;[[11:00:00, 22:00:00]];True
15;18;19;Student;2023-05-02;12:30:00;True;[[11:00:00, 22:00:00]];True
16;5;18;Senior;2023-05-02;11:30:00;True;[[6:00:00, 17:00:00]];True
17;5;6;Senior;2023-05-02;06:00:00;True;[[6:00:00, 17:00:00]];True
18;14;15;Student;2023-05-02;20:00:00;True;[[11:00:00, 22:00:00]];True
19;16;9;Business;2023-05-02;20:00:00;True;[[6:00:00, 8:00:00], [20:00:00, 22:00:00]];False
20;10;2;Business;2023-05-02;07:30:00;True;[[6:00:00, 8:00:00], [20:00:00, 22:00:00]];False
21;3;5;Student;2023-05-02;13:30:00;True;[[11:00:00, 22:00:00]];False
22;13;8;Student;2023-05-02;16:30:00;True;[[11:00:00, 22:00:00]];False
23;2;18;Student;2023-05-02;13:00:00;True;[[11:00:00, 22:00:00]];False
24;5;15;Stay-at-Home;2023-05-02;16:30:00;True;[[9:00:00, 12:00:00], [14:00:00, 18:00:00]];False
25;16;16;Business;2023-05-02;07:30:00;True;[[6:00:00, 8:00:00], [20:00:00, 22:00:00]];False
26;8;3;Senior;2023-05-02;11:30:00;True;[[6:00:00, 17:00:00]];True
27;17;16;Business;2023-05-02;21:00:00;True;[[6:00:00, 8:00:00], [20:00:00, 22:00:00]];False
28;13;1;Student;2023-05-02;14:00:00;True;[[11:00:00, 22:00:00]];True
29;10;2;Stay-at-Home;2023-05-02;11:30:00;True;[[9:00:00, 12:00:00], [14:00:00, 18:00:00]];False
30;8;18;Business;2023-05-02;06:00:00;True;[[6:00:00, 8:00:00], [20:00:00, 22:00:00]];False
31;9;1;Senior;2023-05-02;11:30:00;True;[[6:00:00, 17:00:00]];True
32;3;1;Student;2023-05-02;18:30:00;True;[[11:00:00, 22:00:00]];True
33;3;2;Student;2023-05-02;21:00:00;True;[[11:00:00, 22:00:00]];False
34;16;6;Business;2023-05-02;07:30:00;True;[[6:00:00, 8:00:00], [20:00:00, 22:00:00]];False
35;18;16;Stay-at-Home;2023-05-02;08:00:00;True;[[9:00:00, 12:00:00], [14:00:00, 18:00:00]];True
36;11;7;Student;2023-05-02;20:00:00;True;[[11:00:00, 22:00:00]];True
37;13;10;Student;2023-05-02;15:30:00;True;[[11:00:00, 22:00:00]];True
38;6;4;Student;2023-05-02;18:00:00;True;[[11:00:00, 22:00:00]];False
39;4;8;Senior;2023-05-02;12:30:00;True;[[6:00:00, 17:00:00]];True
40;18;12;Senior;2023-05-02;11:30:00;True;[[6:00:00, 17:00:00]];True
41;5;10;Stay-at-Home;2023-05-02;15:30:00;True;[[9:00:00, 12:00:00], [14:00:00, 18:00:00]];True
42;10;7;Senior;2023-05-02;13:30:00;True;[[6:00:00, 17:00:00]];True
43;9;15;Senior;2023-05-02;08:00:00;True;[[6:00:00, 17:00:00]];True
44;2;20;Senior;2023-05-02;06:30:00;True;[[6:00:00, 17:00:00]];True
45;14;4;Stay-at-Home;2023-05-02;10:30:00;True;[[9:00:00, 12:00:00], [14:00:00, 18:00:00]];True
46;1;4;Senior;2023-05-02;06:30:00;True;[[6:00:00, 17:00:00]];True
47;15;18;Student;2023-05-02;13:30:00;True;[[11:00:00, 22:00:00]];True
48;8;2;Business;2023-05-02;21:30:00;True;[[6:00:00, 8:00:00], [20:00:00, 22:00:00]];False
49;18;6;Stay-at-Home;2023-05-02;08:30:00;True;[[9:00:00, 12:00:00], [14:00:00, 18:00:00]];True
50;5;1;Student;2023-05-02;13:00:00;True;[[11:00:00, 22:00:00]];False
51;9;7;Business;2023-05-02;20:30:00;True;[[6:00:00, 8:00:00], [20:00:00, 22:00:00]];False
52;13;20;Student;2023-05-02;15:30:00;True;[[11:00:00, 22:00:00]];True
53;9;4;Senior;2023-05-02;11:00:00;True;[[6:00:00, 17:00:00]];True
54;14;17;Student;2023-05-02;20:00:00;True;[[11:00:00, 22:00:00]];False
55;14;8;Student;2023-05-02;13:00:00;True;[[11:00:00, 22:00:00]];True
56;2;5;Business;2023-05-02;07:30:00;True;[[6:00:00, 8:00:00], [20:00:00, 22:00:00]];False
57;7;19;Business;2023-05-02;07:30:00;True;[[6:00:00, 8:00:00], [20:00:00, 22:00:00]];False
58;12;17;Stay-at-Home;2023-05-02;16:30:00;True;[[9:00:00, 12:00:00], [14:00:00, 18:00:00]];False
59;20;8;Stay-at-Home;2023-05-02;11:00:00;True;[[9:00:00, 12:00:00], [14:00:00, 18:00:00]];False
60;20;10;Business;2023-05-02;06:00:00;True;[[6:00:00, 8:00:00], [20:00:00, 22:00:00]];False
61;8;8;Stay-at-Home;2023-05-02;11:00:00;True;[[9:00:00, 12:00:00], [14:00:00, 18:00:00]];True
62;11;13;Student;2023-05-02;19:30:00;True;[[11:00:00, 22:00:00]];True
63;20;4;Stay-at-Home;2023-05-02;08:00:00;True;[[9:00:00, 12:00:00], [14:00:00, 18:00:00]];True
64;12;19;Business;2023-05-02;06:00:00;True;[[6:00:00, 8:00:00], [20:00:00, 22:00:00]];False
65;12;13;Senior;2023-05-02;09:30:00;True;[[6:00:00, 17:00:00]];True
66;8;1;Stay-at-Home;2023-05-02;14:30:00;True;[[9:00:00, 12:00:00], [14:00:00, 18:00:00]];True
67;19;8;Business;2023-05-02;21:30:00;True;[[6:00:00, 8:00:00], [20:00:00, 22:00:00]];False
68;16;8;Student;2023-05-02;16:00:00;True;[[11:00:00, 22:00:00]];False
69;17;13;Stay-at-Home;2023-05-02;14:30:00;True;[[9:00:00, 12:00:00], [14:00:00, 18:00:00]];False
70;19;10;Student;2023-05-02;21:00:00;True;[[11:00:00, 22:00:00]];False
