CustomerId;Xcoord;Ycoord;CustomerType;SatisfactionStatus;ReasonForSatisfaction;PreferredTimeSlot;WillingnessToChangeTS;TimeslotId;TimeslotStart;TimeslotEnd;OrderPrice
1;15;17;Student;Satisfied;Preferred cheapest Slot;16:00:00;False;21;16:00:00;16:30:00;normal
2;8;11;Senior;Satisfied;Preferred cheapest Slot;06:00:00;True;1;06:00:00;06:30:00;normal
3;5;11;Student;Very Satisfied;Preferred Slot;17:30:00;True;24;17:30:00;18:00:00;normal
4;2;1;Stay-at-Home;Satisfied;Preferred cheapest Slot;08:30:00;False;6;08:30:00;09:00:00;normal
5;11;16;Business;Dissatisfied;Not willing to change and canceled order;06:00:00;False;;;;
6;11;16;Business;Very Satisfied;Preferred Slot;21:30:00;False;32;21:30:00;22:00:00;expensive
7;3;12;Student;Very Satisfied;Preferred Slot;16:30:00;True;22;16:30:00;17:00:00;normal
8;17;8;Stay-at-Home;Very Satisfied;Preferred Slot;17:00:00;False;23;17:00:00;17:30:00;normal
9;4;11;Stay-at-Home;Dissatisfied;Not willing to change and canceled order;08:30:00;False;;;;
10;5;11;Stay-at-Home;Satisfied;Preferred cheapest Slot;14:30:00;True;18;14:30:00;15:00:00;normal
11;18;15;Student;Satisfied;Cheapest possible Slot;14:30:00;True;17;14:00:00;14:30:00;normal
12;17;4;Senior;Satisfied;Preferred cheapest Slot;10:30:00;True;10;10:30:00;11:00:00;normal
13;9;12;Student;Dissatisfied;Not willing to change and canceled order;16:00:00;False;;;;
14;17;17;Stay-at-Home;Satisfied;Preferred cheapest Slot;15:00:00;False;19;15:00:00;15:30:00;normal
15;7;15;Student;Satisfied;Cheapest possible Slot;17:30:00;True;25;18:00:00;18:30:00;normal
16;7;13;Senior;Satisfied;Preferred cheapest Slot;07:30:00;True;4;07:30:00;08:00:00;normal
17;6;5;Stay-at-Home;Dissatisfied;Not willing to change and canceled order;16:00:00;False;;;;
18;11;10;Senior;Satisfied;Preferred cheapest Slot;06:30:00;True;2;06:30:00;07:00:00;normal
19;8;5;Business;Very Satisfied;Preferred Slot;20:30:00;False;30;20:30:00;21:00:00;expensive
20;6;4;Senior;Satisfied;Preferred cheapest Slot;12:00:00;True;13;12:00:00;12:30:00;normal
21;19;5;Stay-at-Home;Satisfied;Cheapest possible Slot;16:30:00;True;20;15:30:00;16:00:00;normal
22;13;15;Business;Very Satisfied;Preferred Slot;20:00:00;False;29;20:00:00;20:30:00;expensive
23;14;20;Student;Satisfied;Cheapest possible Slot;20:00:00;True;28;19:30:00;20:00:00;normal
24;17;12;Business;Dissatisfied;Not willing to change and canceled order;07:30:00;False;;;;
25;11;18;Student;Dissatisfied;Not willing to change and canceled order;21:30:00;False;;;;
26;4;19;Business;Dissatisfied;Not willing to change and canceled order;21:30:00;False;;;;
27;2;10;Stay-at-Home;Satisfied;Cheapest possible Slot;15:30:00;True;12;11:30:00;12:00:00;normal
28;10;20;Student;Satisfied;Preferred cheapest Slot;19:00:00;True;27;19:00:00;19:30:00;normal
29;16;19;Stay-at-Home;Satisfied;Cheapest possible Slot;17:00:00;True;11;11:00:00;11:30:00;normal
30;6;13;Stay-at-Home;Very Satisfied;Preferred Slot;09:30:00;False;8;09:30:00;10:00:00;normal
